date,sentiment
2022-08-10,negative
2022-08-09,negative
2022-08-09,negative
2022-08-08,negative
2022-08-04,positive
2022-08-04,neutral
2022-08-03,negative
2022-08-03,negative
2022-08-03,negative
2022-08-02,positive
2022-08-01,negative
2022-08-01,positive
2022-07-29,positive
2022-07-29,negative
2022-07-29,negative
2022-07-28,negative
2022-07-28,negative
2022-07-28,negative
2022-07-28,neutral
2022-07-28,negative
2022-07-27,neutral
2022-07-25,positive
2022-07-21,positive
2022-07-20,negative
2022-07-20,neutral
2022-07-19,positive
2022-07-19,negative
2022-07-18,negative
2022-07-18,positive
2022-07-14,negative
2022-07-14,neutral
2022-07-14,positive
2022-07-11,neutral
2022-07-11,negative
2022-07-11,negative
2022-07-06,positive
2022-07-04,negative
2022-06-30,negative
2022-06-30,neutral
2022-06-28,negative
2022-06-23,negative
2022-06-15,positive
2022-06-15,positive
2022-06-12,neutral
2022-06-10,negative
2022-06-08,negative
2022-06-08,negative
2022-06-06,negative
2022-06-03,negative
2022-05-31,neutral
2022-05-20,negative
2022-05-17,positive
2022-05-14,neutral
2022-05-12,negative
2022-05-11,negative
2022-05-10,positive
2022-05-09,negative
2022-04-29,negative
2022-04-29,negative
2022-04-28,positive
2022-04-28,negative
2022-04-28,positive
2022-04-28,neutral
2022-04-27,negative
2022-04-25,positive
2022-04-18,negative
2022-04-14,neutral
2022-04-14,neutral
2022-04-14,neutral
2022-04-12,negative
2022-04-11,negative
2022-04-08,neutral
2022-04-06,negative
2022-04-06,negative
2022-04-05,neutral
2022-04-04,positive
2022-04-02,positive
2022-03-31,positive
2022-03-30,neutral
2022-03-24,positive
2022-03-24,positive
2022-03-23,neutral
2022-03-23,negative
2022-03-23,neutral
2022-03-17,negative
2022-03-15,neutral
2022-03-14,negative
2022-03-14,negative
2022-03-07,neutral
2022-03-05,negative
2022-03-04,negative
2022-03-03,negative
2022-03-03,negative
2022-02-27,negative
2022-02-23,positive
2022-02-18,neutral
2022-02-18,negative
2022-02-18,negative
2022-02-18,negative
2022-02-15,positive
2022-02-15,negative
2022-02-15,positive
2022-02-14,neutral
2022-02-14,positive
2022-02-14,neutral
2022-02-11,neutral
2022-02-11,negative
2022-02-11,neutral
2022-02-09,positive
2022-01-29,neutral
2022-01-27,positive
2022-01-27,negative
2022-01-26,negative
2022-01-26,negative
2022-01-26,positive
2022-01-26,negative
2022-01-24,neutral
2022-01-21,negative
2022-01-21,neutral
2022-01-21,neutral
2022-01-19,positive
2022-01-18,neutral
2022-01-18,positive
2022-01-15,neutral
2022-01-14,neutral
2022-01-11,negative
2022-01-11,negative
2022-01-11,negative
2022-01-11,positive
2022-01-10,negative
2022-01-10,neutral
2022-01-05,positive
2022-01-04,negative
2022-01-04,positive
2021-12-23,neutral
2021-12-23,negative
2021-12-22,negative
2021-12-17,positive
2021-12-16,negative
2021-12-13,positive
2021-12-11,neutral
2021-12-09,neutral
2021-12-07,positive
2021-12-07,neutral
2021-12-07,neutral
2021-12-07,positive
2021-12-06,neutral
2021-12-03,negative
2021-12-02,neutral
